Sample description: Extrapolated to infinite dilution
Sample: Extrapolated to  c= 0.000 mg/ml  Code: gluc
Parent(s): gluc_026.dat gluc_024.dat gluc_022.dat gluc_020.dat
  1.361190e+00   9.532070e-01   3.326580e-02
  1.363920e+00   9.861880e-01   3.363550e-02
  1.366660e+00   9.909180e-01   3.359340e-02
  1.369390e+00   9.846270e-01   3.365220e-02
  1.372130e+00   1.007470e+00   3.333150e-02
  1.374860e+00   9.774460e-01   3.323290e-02
  1.377590e+00   1.011000e+00   3.372430e-02
  1.380330e+00   9.950220e-01   3.362640e-02
  1.383060e+00   9.591100e-01   3.359680e-02
  1.385800e+00   9.854450e-01   3.336950e-02
  1.388530e+00   1.017540e+00   3.335860e-02
  1.391260e+00   1.029270e+00   3.335380e-02
  1.394000e+00   9.815230e-01   3.303920e-02
  1.396730e+00   1.025550e+00   3.379340e-02
  1.399470e+00   9.991530e-01   3.345070e-02
  1.402200e+00   9.908570e-01   3.354220e-02
  1.404930e+00   1.037470e+00   3.347790e-02
  1.407670e+00   9.757180e-01   3.331020e-02
  1.410400e+00   9.887770e-01   3.338010e-02
  1.413140e+00   9.517950e-01   3.345930e-02
  1.415870e+00   1.026640e+00   3.329200e-02
  1.418600e+00   9.732920e-01   3.321600e-02
  1.421340e+00   9.869100e-01   3.316230e-02
  1.424070e+00   9.381270e-01   3.328270e-02
  1.426810e+00   9.581500e-01   3.325740e-02
  1.429540e+00   1.023190e+00   3.321600e-02
  1.432270e+00   9.679710e-01   3.298490e-02
  1.435010e+00   9.651560e-01   3.338090e-02
  1.437740e+00   9.363200e-01   3.298460e-02
  1.440480e+00   9.475210e-01   3.311320e-02
  1.443210e+00   9.659540e-01   3.292590e-02
  1.445940e+00   9.927950e-01   3.316070e-02
  1.448680e+00   9.535590e-01   3.319900e-02
  1.451410e+00   9.071490e-01   3.307790e-02
  1.454150e+00   9.595860e-01   3.276580e-02
  1.456880e+00   9.402220e-01   3.289580e-02
  1.459620e+00   9.799410e-01   3.295630e-02
  1.462350e+00   9.517600e-01   3.281100e-02
  1.465080e+00   9.475620e-01   3.298660e-02
  1.467820e+00   8.993510e-01   3.283220e-02
  1.470550e+00   9.211050e-01   3.253580e-02
  1.473290e+00   9.419970e-01   3.241440e-02
  1.476020e+00   9.368070e-01   3.251680e-02
  1.478750e+00   9.471320e-01   3.198570e-02
  1.481490e+00   8.966100e-01   3.221190e-02
  1.484220e+00   8.805660e-01   3.210500e-02
  1.486960e+00   8.922330e-01   3.230940e-02
  1.489690e+00   9.109270e-01   3.170800e-02
  1.492420e+00   8.636370e-01   3.200370e-02
  1.495160e+00   8.562980e-01   3.194160e-02
  1.497890e+00   8.750650e-01   3.174550e-02
  1.500630e+00   8.879890e-01   3.196330e-02
  1.503360e+00   8.802140e-01   3.180270e-02
  1.506090e+00   9.147620e-01   3.227400e-02
  1.508830e+00   9.090210e-01   3.188700e-02
  1.511560e+00   8.188100e-01   3.162570e-02
  1.514300e+00   8.504080e-01   3.173820e-02
  1.517030e+00   8.630610e-01   3.226210e-02
  1.519760e+00   8.657550e-01   3.169020e-02
  1.522500e+00   7.602630e-01   3.161210e-02
  1.525230e+00   8.409860e-01   3.165580e-02
  1.527970e+00   8.361520e-01   3.171550e-02
  1.530700e+00   7.892290e-01   3.159150e-02
  1.533430e+00   7.783270e-01   3.159740e-02
  1.536170e+00   8.338360e-01   3.149190e-02
  1.538900e+00   7.621920e-01   3.123440e-02
  1.541640e+00   7.710380e-01   3.188800e-02
  1.544370e+00   7.560530e-01   3.138510e-02
  1.547100e+00   7.627620e-01   3.108990e-02
  1.549840e+00   7.444530e-01   3.148580e-02
  1.552570e+00   7.266830e-01   3.141310e-02
  1.555310e+00   7.411890e-01   3.118430e-02
  1.558040e+00   7.609100e-01   3.145010e-02
