 19-May-2006       (cal_016.dat - 1.000 *Avrag04.dat) /  6.0250               
cal_016.dat   Conc = .60E+01  Mult = .10E+01  N1 =    1  N2 = 2135  SCALE =  1
 Avrag04.dat  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 = 2135  SCALE =  1
  0.123473E+01  0.162058E+02  0.136419E+00
  0.123701E+01  0.160596E+02  0.135696E+00
  0.123930E+01  0.158815E+02  0.136636E+00
  0.124158E+01  0.159046E+02  0.135909E+00
  0.124387E+01  0.159975E+02  0.136185E+00
  0.124615E+01  0.156247E+02  0.135381E+00
  0.124844E+01  0.151530E+02  0.135325E+00
  0.125072E+01  0.154906E+02  0.135379E+00
  0.125301E+01  0.154310E+02  0.134687E+00
  0.125529E+01  0.152043E+02  0.135085E+00
  0.125757E+01  0.150486E+02  0.134061E+00
  0.125986E+01  0.152612E+02  0.134571E+00
  0.126214E+01  0.151089E+02  0.134862E+00
  0.126443E+01  0.147844E+02  0.133561E+00
  0.126671E+01  0.146501E+02  0.133895E+00
  0.126900E+01  0.146991E+02  0.133442E+00
  0.127128E+01  0.145540E+02  0.134088E+00
  0.127357E+01  0.144561E+02  0.133422E+00
  0.127585E+01  0.145233E+02  0.132928E+00
  0.127814E+01  0.140654E+02  0.132793E+00
