 19-May-2006       (cal_033.dat - 1.000 *Avrag08.dat) /  5.0530               
cal_033.dat   Conc = .51E+01  Mult = .10E+01  N1 =    1  N2 = 2135  SCALE =  1
 Avrag08.dat  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 = 2135  SCALE =  1
  0.914891E+00  0.400234E+02  0.187121E+00
  0.917175E+00  0.391269E+02  0.185297E+00
  0.919460E+00  0.391734E+02  0.186384E+00
  0.921745E+00  0.395185E+02  0.184767E+00
  0.924029E+00  0.393184E+02  0.186271E+00
  0.926314E+00  0.385747E+02  0.184692E+00
  0.928598E+00  0.386481E+02  0.183893E+00
  0.930883E+00  0.384827E+02  0.184238E+00
  0.933167E+00  0.381924E+02  0.183756E+00
  0.935452E+00  0.380635E+02  0.183089E+00
  0.937737E+00  0.379818E+02  0.182818E+00
  0.940021E+00  0.374294E+02  0.182709E+00
  0.942306E+00  0.373774E+02  0.182387E+00
  0.944590E+00  0.371902E+02  0.180686E+00
  0.946875E+00  0.370475E+02  0.182575E+00
  0.949159E+00  0.368761E+02  0.179968E+00
  0.951444E+00  0.370323E+02  0.181424E+00
  0.953728E+00  0.365050E+02  0.180303E+00
  0.956013E+00  0.362282E+02  0.178910E+00
  0.958298E+00  0.360865E+02  0.180815E+00
  0.960582E+00  0.360206E+02  0.178769E+00
  0.962867E+00  0.354207E+02  0.179518E+00
  0.965151E+00  0.357495E+02  0.178023E+00
  0.967436E+00  0.351417E+02  0.178216E+00
  0.969720E+00  0.351965E+02  0.178014E+00
  0.972005E+00  0.351524E+02  0.177231E+00
  0.974289E+00  0.347429E+02  0.177850E+00
  0.976574E+00  0.346729E+02  0.175890E+00
  0.978859E+00  0.348405E+02  0.177134E+00
  0.981143E+00  0.340528E+02  0.176489E+00
  0.983428E+00  0.336871E+02  0.174520E+00
  0.985712E+00  0.338987E+02  0.176374E+00
  0.987997E+00  0.341049E+02  0.174766E+00
  0.990281E+00  0.337631E+02  0.175734E+00
  0.992566E+00  0.332749E+02  0.173961E+00
  0.994851E+00  0.326683E+02  0.173787E+00
  0.997135E+00  0.328763E+02  0.174292E+00
  0.999420E+00  0.323990E+02  0.172954E+00
  0.100170E+01  0.319571E+02  0.173262E+00
  0.100399E+01  0.322959E+02  0.172278E+00
  0.100627E+01  0.323443E+02  0.172477E+00
  0.100856E+01  0.320507E+02  0.172120E+00
  0.101084E+01  0.314957E+02  0.171552E+00
  0.101313E+01  0.312551E+02  0.171753E+00
  0.101541E+01  0.313487E+02  0.170021E+00
  0.101770E+01  0.308260E+02  0.171029E+00
  0.101998E+01  0.309895E+02  0.170744E+00
  0.102227E+01  0.308557E+02  0.169636E+00
  0.102455E+01  0.310150E+02  0.169773E+00
  0.102683E+01  0.306780E+02  0.169024E+00
  0.102912E+01  0.305153E+02  0.169923E+00
  0.103140E+01  0.305223E+02  0.168494E+00
  0.103369E+01  0.300665E+02  0.168812E+00
  0.103597E+01  0.297400E+02  0.168673E+00
  0.103826E+01  0.299171E+02  0.167253E+00
  0.104054E+01  0.302060E+02  0.169054E+00
  0.104283E+01  0.296648E+02  0.166478E+00
  0.104511E+01  0.291528E+02  0.167401E+00
  0.104740E+01  0.290760E+02  0.166375E+00
  0.104968E+01  0.290332E+02  0.166217E+00
  0.105196E+01  0.283453E+02  0.166632E+00
  0.105425E+01  0.283077E+02  0.164667E+00
  0.105653E+01  0.274722E+02  0.165729E+00
